files,language,blank,comment,code,"github.com/AlDanial/cloc v 1.98  T=1.06 s (803.7 files/s 532201.7 lines/s)"
46,PO File,62382,71108,162896
204,C++,19827,16171,99997
261,C/C++ Header,6781,14375,21909
25,Bourne Shell,3111,2812,20397
64,XML,2,0,15111
31,C,1884,2183,10962
39,m4,831,935,7274
27,PHP,403,434,4043
47,CMake,551,227,2560
2,SVG,0,3,2094
32,make,263,44,1391
6,Objective-C++,346,121,1311
14,Text,337,0,1187
6,Visual Studio Solution,0,6,968
7,Perl,304,223,965
3,yacc,144,89,820
1,Ruby,237,66,730
3,lex,97,12,517
2,Java,16,48,413
4,Objective-C,99,10,275
3,HTML,8,0,221
7,diff,28,85,206
2,CSS,19,27,114
4,DOS Batch,15,7,84
1,XSLT,1,4,75
1,Markdown,33,0,71
4,Windows Resource File,8,0,58
1,Python,9,22,27
1,awk,10,43,22
2,sed,0,0,16
1,Bourne Again Shell,1,19,14
851,SUM,97747,109074,356728
