files,language,blank,comment,code,"github.com/AlDanial/cloc v 2.00  T=2.05 s (946.7 files/s 364672.2 lines/s)"
833,XML,39564,18159,264528
326,C,34677,42473,203871
23,Bourne Shell,7199,4384,50074
128,Python,2052,2053,13251
184,C/C++ Header,4550,18178,13148
1,SVG,1,1,5877
261,HTML,881,9,3679
53,m4,461,689,3506
12,Lua,311,132,1924
8,CSS,334,355,1447
3,JavaScript,116,556,1104
2,CMake,165,115,1093
6,Fortran 77,167,35,760
7,awk,86,111,749
7,Perl,131,150,593
2,D,7,9,308
1,lex,43,64,293
3,Korn Shell,50,70,286
6,Text,73,0,256
1,YAML,4,58,225
6,DTD,118,121,185
1,yacc,34,22,161
2,Bourne Again Shell,19,89,147
2,Windows Resource File,17,31,143
1,DAL,1,3,117
2,IDL,0,0,112
14,JSON,2,0,90
6,make,27,84,67
34,Expect,0,0,34
1,Markdown,12,0,28
1,TeX,9,45,26
1,Properties,5,5,17
1,Visual Basic Script,5,13,14
1,Windows Module Definition,4,3,12
1940,SUM,91125,88017,568125
