files,language,blank,comment,code,"github.com/AlDanial/cloc v 1.98  T=0.27 s (1290.0 files/s 361159.6 lines/s)"
88,C,4751,5878,22444
21,Bourne Shell,1932,1585,15541
1,HTML,154,0,8262
34,C++,1228,1663,6447
4,reStructuredText,1794,38,6286
93,C/C++ Header,1289,2320,5305
7,XML,1,12,2667
43,make,245,87,1154
6,Objective-C,162,239,681
8,Text,167,0,582
1,m4,62,40,389
8,Tcl/Tk,56,13,368
13,Elixir,79,106,279
2,TNSDL,54,0,236
3,Visual Basic Script,174,77,153
1,Windows Module Definition,0,0,151
1,Windows Resource File,33,18,117
1,PHP,25,36,113
1,DOS Batch,33,62,104
2,diff,21,62,102
3,INI,8,0,72
1,CSS,13,0,51
1,Standard ML,1,0,6
343,SUM,12282,12236,71510
