files,language,blank,comment,code,"github.com/AlDanial/cloc v 2.00  T=4.00 s (843.4 files/s 148485.4 lines/s)"
1604,JavaScript,12681,856,165528
926,Python,23190,18100,109258
63,JSON,4,0,69750
15,PO File,25351,49756,57367
140,YAML,1560,215,11435
242,Text,1942,0,9019
160,Markdown,3221,51,8710
121,reStructuredText,6517,3492,7227
29,Jinja Template,216,19,3699
26,Bourne Shell,172,283,748
4,SVG,9,2,606
3,make,153,113,602
6,CSS,34,8,524
10,HTML,18,10,334
1,PowerShell,23,9,112
4,INI,12,0,105
1,Perl,31,42,101
5,Bourne Again Shell,22,3,91
1,Expect,7,8,34
1,DOS Batch,8,1,26
4,Dockerfile,3,2,24
3,TOML,2,3,18
2,XML,0,0,2
3371,SUM,75176,72973,445320
