files,language,blank,comment,code,"github.com/AlDanial/cloc v 2.00  T=1.70 s (1007.1 files/s 369669.9 lines/s)"
456,C,51699,45460,282539
428,Bourne Shell,14962,15989,88016
377,C/C++ Header,6783,33949,19488
145,reStructuredText,7231,10205,12841
19,m4,1400,244,12638
159,Python,1615,2828,5837
56,Perl,1171,1537,5087
46,make,426,223,2131
1,XSLT,35,21,1050
5,JSON,0,0,992
8,Markdown,167,65,511
4,Text,0,0,129
1,Protocol Buffers,52,186,51
1,TNSDL,4,0,26
1,INI,1,0,19
1,XML,1,0,16
1,CSS,5,11,9
1,Gencat NLS,0,0,3
1710,SUM,85552,110718,431383
