files,language,blank,comment,code,"github.com/AlDanial/cloc v 2.00  T=0.53 s (1277.0 files/s 398390.7 lines/s)"
145,C,13983,12177,106784
225,Bourne Shell,3263,2532,17577
116,C/C++ Header,3639,7569,15756
96,reStructuredText,4235,2303,10881
47,Text,263,0,3380
9,Python,264,259,1338
9,Bourne Again Shell,212,237,1188
5,Markdown,331,0,1014
5,make,171,111,799
4,m4,95,16,761
8,YAML,6,39,512
1,Assembly,49,133,294
6,Dockerfile,51,45,113
1,CSS,10,2,34
2,Snakemake,4,4,11
1,INI,1,0,9
1,HTML,0,0,4
681,SUM,26577,25427,160455
