files,language,blank,comment,code,"github.com/AlDanial/cloc v 2.00  T=0.21 s (2299.4 files/s 250610.9 lines/s)"
397,Bourne Shell,4647,4191,24928
8,C,978,208,3666
13,Markdown,548,0,3096
3,Rust,225,208,1931
1,SVG,1,1,1699
1,CSS,214,25,881
5,C/C++ Header,298,100,814
7,Bourne Again Shell,87,111,579
9,YAML,119,10,472
3,Perl,165,187,344
5,make,60,1,319
6,diff,50,162,296
12,Snakemake,44,48,107
1,INI,6,0,33
1,Python,11,20,28
1,Lisp,1,7,17
2,TOML,2,1,16
1,XML,6,3,10
1,CMake,2,0,4
477,SUM,7464,5283,39240
