files,language,blank,comment,code,"github.com/AlDanial/cloc v 2.00  T=5.25 s (1087.8 files/s 359919.3 lines/s)"
2663,C,181689,65274,957682
901,SVG,401,387,200227
1395,C/C++ Header,32960,173455,140845
125,C++,5300,1917,24937
78,C#,4560,7182,21172
263,Meson,1296,181,10882
47,Logos,1346,613,9584
31,Lua,910,337,5094
35,PO File,3138,4622,5009
1,Assembly,427,669,3731
12,Python,1138,963,3547
11,Text,85,0,3328
33,JavaScript,612,238,3069
2,CSS,255,55,1690
5,Objective-C,314,69,1388
7,Markdown,320,14,910
33,Bourne Shell,173,76,723
5,GLSL,122,56,693
26,CMake,182,265,516
12,XML,50,1,384
2,PHP,34,199,348
9,JSON,1,0,91
3,Fortran 77,0,0,50
2,HTML,4,1,29
2,YAML,0,0,24
2,INI,5,0,19
1,diff,0,5,5
5706,SUM,235322,256579,1395977
