files,language,blank,comment,code,"github.com/AlDanial/cloc v 2.00  T=253.06 s (1286.5 files/s 201905.5 lines/s)"
89365,JavaScript,1281736,1972994,6962737
14066,C++,915206,774894,5289000
106383,HTML,550170,122212,4759581
4497,Text,62037,0,4444502
10465,Rust,295798,608673,3352390
19659,C/C++ Header,601062,1123869,2886302
4297,C,388750,628675,2801021
3139,JSON,918,0,2745113
8705,Python,279747,319664,1196944
7847,XML,71932,208290,871260
23062,INI,170740,158,570555
3994,Kotlin,84911,66015,464977
2079,YAML,14894,10478,432842
550,Assembly,39051,35504,412663
1292,TypeScript,33331,46171,259564
3430,XHTML,22673,7822,192562
1036,Java,28498,68717,182234
31,Pascal,1030,29423,169960
2081,Markdown,58359,699,164691
4931,SVG,8853,19573,153909
715,Bourne Shell,22739,25821,139987
2221,NAnt script,38842,0,133516
1257,CSS,22416,10126,127958
2239,TOML,32916,8366,118975
1173,IDL,15518,0,108492
2146,reStructuredText,88412,143382,107839
465,diff,5966,32850,97150
336,Objective-C++,13834,10373,65214
1477,GLSL,10458,10449,34426
65,m4,3763,1294,33266
223,JSX,2832,1284,26430
436,make,6653,9204,23532
56,Windows Module Definition,311,1576,23473
163,CMake,2995,4237,22549
243,Freemarker Template,4194,0,18096
57,PHP,888,1515,14389
65,Perl,2811,3100,13340
22,DTD,2729,6642,11263
12,MSBuild script,0,0,11067
42,Starlark,842,589,10865
78,SCSS,1770,537,9488
10,CSV,0,0,9312
164,Gradle,2236,1205,9097
90,Objective-C,2019,1207,8858
1,TeX,814,3708,7205
142,Properties,1977,5606,5948
20,C#,470,231,3844
32,Bourne Again Shell,476,512,3099
39,Jinja Template,380,90,2961
11,Cython,381,197,2928
41,Protocol Buffers,1091,3045,2852
14,Meson,390,389,2616
72,Windows Resource File,601,627,2547
4,SKILL,68,2,2419
98,Dockerfile,494,337,2192
39,DOS Batch,364,213,1943
2,yacc,383,348,1919
6,SQL,49,87,1911
46,Swift,351,212,1761
18,Visual Studio Solution,13,18,1449
7,Gencat NLS,128,0,1416
3,SWIG,281,77,1362
44,Vuejs Component,78,22,1353
20,Ruby,343,136,1195
7,Bazel,111,144,869
18,Fortran 77,56,38,822
16,MATLAB,177,267,816
10,Expect,167,305,758
1,LLVM IR,74,0,719
4,lex,149,207,685
5,Korn Shell,83,165,526
24,XSLT,79,18,516
9,Metal,174,153,509
2,Elm,114,29,399
2,Go,72,103,326
2,Lisp,42,38,258
3,awk,54,4,249
2,HLSL,72,73,203
3,PowerShell,16,5,197
13,Visual Basic,1,0,150
4,Svelte,31,2,141
9,ProGuard,64,206,130
1,XSD,15,19,113
3,Ant,42,133,89
7,Handlebars,0,0,88
6,TNSDL,14,31,80
4,Nix,4,0,75
54,WebAssembly,3,0,74
1,WiX source,11,25,73
6,sed,14,28,73
2,WGSL,15,0,72
1,Mako,0,0,31
1,Containerfile,9,0,15
2,CoffeeScript,7,4,13
1,R,8,18,12
1,C Shell,1,0,11
1,D,4,22,8
1,Cucumber,3,0,6
1,Elixir,0,39,6
1,Linker Script,0,0,5
1,Stylus,2,0,5
325552,SUM,5205660,6335521,39553431
