files,language,blank,comment,code,"github.com/AlDanial/cloc v 2.00  T=3.03 s (647.2 files/s 318779.8 lines/s)"
7,PO File,166395,212556,345062
1343,Fish Shell,8252,12157,60209
104,C++,7447,9606,47483
146,HTML,4778,9,41246
136,reStructuredText,5858,1323,11016
105,C/C++ Header,2650,3632,7909
46,Python,1191,1262,6362
7,CSS,455,119,2110
14,JavaScript,228,648,1440
12,CMake,195,305,935
13,Dockerfile,87,9,378
13,Bourne Shell,106,110,344
1,Markdown,37,0,92
3,YAML,11,15,84
1,Objective-C,19,15,66
1,make,18,8,46
1,Fortran 77,15,0,45
3,XML,1,0,35
1,Snakemake,2,0,24
1,INI,7,0,21
1958,SUM,197752,241774,524907
