files,language,blank,comment,code,"github.com/AlDanial/cloc v 2.00  T=6.52 s (539.9 files/s 90199.8 lines/s)"
2359,Go,49964,38647,286179
41,INI,1188,2479,72257
259,Markdown,7860,18,31849
67,CSS,5662,2444,24711
22,JSON,8,0,21331
126,JavaScript,2028,1184,20878
121,YAML,681,216,10106
13,Vuejs Component,242,177,2601
36,Bourne Shell,356,460,1570
442,SVG,1,2,941
3,make,220,15,852
19,Bourne Again Shell,46,32,239
3,Dockerfile,36,26,140
2,Text,4,0,131
1,Perl,31,42,101
2,XML,6,7,72
1,LESS,18,31,54
3,TOML,4,0,29
1,diff,7,15,17
3521,SUM,68362,45795,474058
