files,language,blank,comment,code,"github.com/AlDanial/cloc v 2.00  T=6.32 s (354.5 files/s 599296.7 lines/s)"
111,PO File,436324,861197,1446768
553,C,84084,90983,457329
571,SVG,1397,443,172004
44,Bourne Shell,9027,6699,52316
590,C/C++ Header,10332,13523,42488
66,C++,5682,7084,31910
67,m4,2074,886,19112
128,make,658,340,7872
33,Lua,607,935,3953
18,Text,159,0,3908
4,Meson,274,20,3613
1,Windows Module Definition,379,0,2054
4,XML,5,0,1290
2,Python,376,1299,1243
4,Forth,490,0,1233
5,CSS,146,71,616
3,Verilog-SystemVerilog,243,0,597
4,Bourne Again Shell,79,91,331
1,HTML,36,3,298
7,YAML,0,0,189
7,diff,29,84,66
12,DOS Batch,3,0,40
4,Windows Resource File,4,1,8
2239,SUM,552408,983659,2249238
