files,language,blank,comment,code,"github.com/AlDanial/cloc v 1.98  T=1.39 s (1418.8 files/s 312092.5 lines/s)"
611,C,27721,37145,206297
41,PO File,17671,19575,38584
598,C/C++ Header,3031,7751,13336
1,CSV,0,0,8962
85,XML,68,86,7657
156,Markdown,3752,0,7426
58,Python,1223,1709,7244
142,Meson,374,81,5919
26,Text,122,0,4267
103,JSON,0,0,3664
71,Rust,315,250,3598
2,SVG,3,1,1559
39,Bourne Shell,168,154,943
13,YAML,41,13,869
13,Protocol Buffers,221,1196,510
4,Bourne Again Shell,27,9,235
2,HTML,1,1,125
3,make,31,10,108
1,Fish Shell,6,8,77
1,C++,6,5,19
1,INI,4,0,10
1,Windows Message File,1,0,10
2,JavaScript,0,0,9
1974,SUM,54786,67994,311428
