files,language,blank,comment,code,"github.com/AlDanial/cloc v 1.98  T=1.35 s (127.7 files/s 450476.3 lines/s)"
22,Bourne Shell,34912,11210,228408
30,C,14514,11338,142141
12,PO File,19549,24239,49141
2,yacc,2129,1357,18930
30,m4,1401,574,14404
10,TeX,1254,3503,10303
11,C/C++ Header,1139,869,6644
2,lex,581,673,4310
9,Windows Module Definition,553,0,1567
8,COBOL,72,129,1274
12,make,167,341,631
15,Text,13,0,579
3,Perl,81,135,555
3,awk,47,123,187
2,Markdown,90,0,184
2,sed,0,0,16
173,SUM,76502,54491,479274
