files,language,blank,comment,code,"github.com/AlDanial/cloc v 2.00  T=5.39 s (273.0 files/s 489944.2 lines/s)"
47,PO File,366317,651799,969421
1135,Python,42316,104162,217137
60,XML,328,99,162018
77,SVG,22,74,70043
70,Glade,5,86,32348
24,CSS,711,1658,13833
26,reStructuredText,915,1516,2000
8,Bourne Shell,63,66,424
1,DTD,96,106,373
1,HTML,51,9,307
3,CSV,6,0,246
5,diff,33,221,245
1,DOS Batch,34,2,227
2,make,35,16,180
2,Text,52,0,178
3,Markdown,70,0,150
3,YAML,12,36,86
1,XSLT,16,21,53
1,JavaScript,7,29,24
1,INI,1,0,3
1471,SUM,411090,759900,1469296
