files,language,blank,comment,code,"github.com/AlDanial/cloc v 2.00  T=1.12 s (1398.7 files/s 289061.8 lines/s)"
427,C,16493,15782,134530
92,SVG,0,894,23003
132,XML,196,93,14162
300,C/C++ Header,3229,4813,14161
104,C++,2204,1432,12032
3,Glade,646,0,10510
27,TeX,856,85,7866
32,Python,1406,1716,5229
114,make,961,303,4572
87,CMake,616,272,4358
11,m4,551,201,4171
47,Bourne Shell,492,498,3262
5,yacc,431,164,3080
24,Tcl/Tk,263,224,2756
4,Markdown,441,0,2650
27,HTML,192,0,2020
17,Text,312,0,1653
2,YAML,95,106,1286
6,Delphi Form,0,4368,1057
11,Visual Basic,250,444,1056
12,Objective-C,221,153,957
2,Qt,0,0,940
6,Visual Studio Solution,5,6,664
3,MSBuild script,0,0,608
19,Java,207,364,560
8,Dockerfile,18,245,423
1,JSON,0,0,422
1,XSLT,73,14,380
2,lex,54,61,306
3,DOS Batch,34,59,262
5,Perl,40,60,213
5,awk,7,9,145
1,Fortran 77,0,0,138
1,SWIG,41,70,130
8,diff,17,125,96
2,PowerShell,21,17,70
2,PHP,13,5,64
2,Lua,15,7,57
3,Ruby,14,4,51
1,C#,5,1,31
1,INI,6,0,31
1,Korn Shell,4,0,23
1,Go,0,0,5
1,sed,0,0,1
1563,SUM,30429,32595,259991
