files,language,blank,comment,code,"github.com/AlDanial/cloc v 2.00  T=9.81 s (729.6 files/s 210170.3 lines/s)"
1754,C++,50964,69077,861166
1990,C/C++ Header,35959,64893,455732
684,Python,18637,22572,98840
424,C,7469,5852,58950
42,CMake,2857,1026,29760
207,Bazel,2514,2858,29481
67,YAML,208,735,27721
177,Ruby,2419,4337,23818
241,Markdown,7075,129,21825
51,JSON,5,0,16360
212,PHP,3415,11568,13268
109,Objective-C,2171,2551,10951
105,Starlark,1081,2372,9328
88,XML,114,175,8250
332,Bourne Shell,2479,7230,8071
64,Cython,1568,1427,5161
188,Protocol Buffers,2163,6382,4793
8,make,325,269,3905
174,Dockerfile,1643,3427,3331
3,Swift,28,40,2268
14,Objective-C++,554,368,2251
40,Text,323,0,2219
24,C#,376,915,2160
2,m4,35,1,1772
13,Go,187,215,1030
25,DOS Batch,210,54,991
38,Bourne Again Shell,146,524,852
23,reStructuredText,310,157,476
11,Java,98,123,465
1,Windows Module Definition,0,0,288
2,XSLT,16,0,183
10,MSBuild script,52,52,170
2,SCSS,37,3,165
1,C# Generated,17,73,143
1,Windows Resource File,26,0,142
1,awk,32,33,132
6,diff,20,79,130
4,Gradle,9,9,129
2,PowerShell,28,31,122
5,JavaScript,14,88,89
3,CSS,13,0,87
2,HTML,1,0,58
1,Fortran 77,2,0,53
1,Visual Studio Solution,1,1,49
1,TOML,1,4,46
2,INI,1,1,36
1,Logos,0,1,19
2,Properties,4,13,6
1,SVG,2,0,2
1,ProGuard,3,18,0
7160,SUM,145612,209683,1707244
