files,language,blank,comment,code,"github.com/AlDanial/cloc v 2.00  T=190.17 s (1134.0 files/s 92107.9 lines/s)"
85999,Java,931194,664674,5259824
62553,Kotlin,533068,388283,2975434
8331,Text,105325,0,2213379
18427,XML,24389,26083,1126039
1384,JSON,987,0,868837
14893,Python,132758,140960,652545
72,C,24879,100240,257078
326,XSD,15334,3246,158280
3711,HTML,18211,27146,101436
2849,Groovy,17665,6918,81375
226,JavaScript,4845,32566,80129
130,GraphQL,4275,1941,61998
4684,Gradle,7156,4805,59365
443,Maven,2245,5066,55863
771,Properties,4125,2791,53750
6647,SVG,57,3797,44667
758,Markdown,5074,63,20390
110,DTD,6070,9826,17946
204,Bazel,802,806,16437
54,CSS,2852,513,12792
397,YAML,619,117,12216
135,C/C++ Header,2835,15567,11912
31,CSV,22,0,8575
603,Bourne Shell,1586,1732,7855
70,C++,1535,1050,7623
3,Web Services Description,2962,2,5722
36,Go,265,45,3821
17,Rust,617,164,2858
261,INI,256,28,2857
13,Cython,797,614,2841
15,Objective-C,475,337,2789
316,FXML,116,0,2458
316,TOML,348,85,2353
111,XSLT,366,81,2144
8,TeX,120,612,2022
148,Forth,198,45,1607
27,Protocol Buffers,477,2568,1508
8,Ant,220,110,1266
33,DOS Batch,379,113,1210
60,Velocity Template Language,71,16,1154
106,diff,116,778,1147
2,SCSS,186,68,1125
8,Starlark,170,396,1100
6,Perl,76,46,969
51,XHTML,75,9,740
32,CMake,264,219,662
6,Bourne Again Shell,132,239,659
4,TypeScript,169,455,508
63,reStructuredText,245,109,499
6,Windows Resource File,40,2,335
6,PlantUML,71,9,289
12,make,36,31,288
3,PowerShell,35,19,223
3,Thrift,64,75,165
2,zsh,27,17,144
25,ProGuard,85,408,120
4,Ruby,16,7,116
17,PHP,9,1,114
9,Dockerfile,28,13,112
46,C#,3,3,85
2,Fish Shell,12,2,80
7,Jupyter Notebook,0,219,73
8,JSP,5,19,69
1,Handlebars,5,0,65
2,CoffeeScript,6,8,60
4,JSON5,13,7,58
2,Windows Module Definition,10,0,58
3,Swift,32,33,56
2,Elixir,1,0,50
2,Visual Studio Solution,2,1,36
1,SQL,3,0,30
2,ColdFusion,0,0,29
4,HCL,0,0,20
17,IDL,5,0,17
1,JSX,3,0,17
2,AspectJ,0,0,12
5,Prolog,0,0,5
1,Vuejs Component,0,0,5
1,NAnt script,1,0,2
1,Erlang,0,0,1
215659,SUM,1857520,1446203,14212498
