files,language,blank,comment,code,"github.com/AlDanial/cloc v 2.00  T=0.24 s (1405.6 files/s 347752.5 lines/s)"
83,C/C++ Header,5164,9140,22599
58,C++,2394,4206,15766
4,WiX source,5,0,6323
30,QML,613,34,5681
4,Qt,1,0,2589
7,JSON,0,0,1836
6,XML,0,4,1356
24,Markdown,352,0,852
9,Text,166,0,766
5,YAML,0,1,730
16,Bourne Shell,108,97,453
12,Bourne Again Shell,93,56,408
3,ProGuard,51,31,399
3,Meson,39,6,347
56,SVG,7,2,312
1,CMake,31,10,250
2,Objective-C++,19,55,88
1,make,28,1,77
1,DOS Batch,8,3,68
2,HTML,1,22,50
5,INI,5,0,47
1,Dockerfile,13,23,27
1,Python,7,0,16
2,diff,2,14,6
1,TOML,0,0,5
1,Windows Resource File,1,0,5
1,Properties,0,0,4
339,SUM,9108,13705,61060
