files,language,blank,comment,code,"github.com/AlDanial/cloc v 2.00  T=3.10 s (498.8 files/s 202932.2 lines/s)"
738,Julia,43725,74924,237908
91,C,5512,6274,60466
139,Markdown,10927,19,38281
49,C++,3255,4379,38148
137,HTML,4534,0,20393
3,CSS,688,49,14718
70,C/C++ Header,2102,2431,14685
104,TOML,836,16,9719
11,Scheme,708,794,8342
53,make,1035,535,4599
7,Fortran 77,242,58,2757
30,LLVM IR,560,1627,2330
7,Lisp,300,99,1944
31,diff,288,1253,1763
14,XML,0,6,1047
17,Bourne Shell,167,151,788
7,JavaScript,69,98,708
5,JSON,1,0,695
5,Objective-C,102,43,589
6,TeX,33,90,527
1,Clojure,0,0,409
7,Assembly,33,136,276
4,YAML,1,2,238
4,Python,25,27,151
1,D,3,1,30
1,Windows Resource File,1,5,29
4,SVG,0,0,19
1,AppleScript,0,0,4
1,Dockerfile,1,0,2
1548,SUM,75148,93017,461565
