files,language,blank,comment,code,"github.com/AlDanial/cloc v 1.98  T=1.23 s (519.2 files/s 75834.6 lines/s)"
104,TypeScript,2810,3667,13540
96,JSON,4,0,12820
13,SVG,0,3,9800
243,JavaScript,880,725,9297
56,Python,2160,1809,7904
9,Markdown,1578,3,7370
54,reStructuredText,3322,3342,5530
5,CSS,168,272,632
22,Jupyter Notebook,0,4038,354
5,TOML,35,43,293
17,Text,18,0,196
6,HTML,32,20,135
1,Bourne Shell,12,3,57
2,Dockerfile,24,12,54
1,DOS Batch,9,3,27
2,YAML,0,0,13
1,make,6,9,13
637,SUM,11058,13949,68035
