files,language,blank,comment,code,"github.com/AlDanial/cloc v 2.00  T=17.43 s (541.8 files/s 76254.3 lines/s)"
6259,Java,143833,162448,560811
911,TypeScript,10383,5216,93214
253,JSON,397,0,81663
224,Properties,2576,1159,39328
80,JavaScript,7358,28318,32494
498,AsciiDoc,10240,160,28536
248,Maven,1847,3581,26770
82,YAML,2274,306,23390
394,XML,1693,5236,16853
67,XSD,911,453,12699
79,Freemarker Template,379,6,3889
73,Markdown,1797,3,3712
30,Text,415,0,2702
61,CSS,392,107,1918
53,Bourne Shell,440,163,1729
22,SVG,22,22,1574
28,HTML,205,192,1179
17,XSLT,126,229,738
32,JSP,57,99,594
9,DOS Batch,90,13,473
2,DTD,68,148,389
4,Mustache,65,0,204
3,Ant,50,52,155
1,Groovy,15,7,83
4,Dockerfile,37,3,54
1,C,10,20,49
1,diff,8,24,21
1,Jinja Template,0,0,11
1,make,0,0,6
1,INI,3,0,5
1,TOML,1,5,4
3,SQL,1,48,1
9443,SUM,185693,208018,935248
