files,language,blank,comment,code,"github.com/AlDanial/cloc v 2.00  T=0.45 s (959.4 files/s 454010.3 lines/s)"
29,PO File,8341,14708,36858
26,Bourne Shell,5242,6076,32604
136,C,7450,8930,24703
28,m4,1389,404,14395
38,HTML,804,114,10597
94,C/C++ Header,2359,7759,7035
17,Text,1037,0,3114
6,XML,0,0,2285
2,CSS,322,49,1708
9,CMake,231,505,1243
14,make,132,143,747
7,Fortran 77,41,0,277
3,Bourne Again Shell,45,125,249
2,Assembly,72,298,239
3,Visual Studio Solution,3,3,141
7,SVG,0,0,103
6,Windows Resource File,9,36,67
2,sed,0,0,16
429,SUM,27477,39150,136381
