files,language,blank,comment,code,"github.com/AlDanial/cloc v 2.00  T=1.14 s (1088.8 files/s 311327.4 lines/s)"
307,C,24011,29205,161989
284,SVG,152,193,48756
241,C/C++ Header,4424,10031,20081
27,XML,115,319,15202
45,Bourne Shell,551,960,5366
27,Perl,992,837,4536
21,Java,654,669,4453
18,C++,520,890,3822
50,QML,449,12,2788
98,CMake,295,164,2051
5,Markdown,126,0,1059
19,reStructuredText,850,606,1059
8,Objective-C,272,217,915
34,XSLT,52,16,870
18,Text,48,0,758
3,PHP,73,26,451
3,YAML,13,5,404
2,Windows Resource File,32,8,310
1,yacc,56,37,288
6,Bourne Again Shell,25,37,238
2,HTML,14,0,190
1,DTD,0,0,168
7,Python,34,20,161
2,Gradle,11,12,149
2,Protocol Buffers,61,81,102
1,DOS Batch,24,2,64
1,m4,9,0,38
2,JavaScript,8,0,27
1,ProGuard,8,11,10
1,Ant,0,0,7
2,Properties,0,1,7
1,make,1,0,4
1240,SUM,33880,44359,276323
