files,language,blank,comment,code,"github.com/AlDanial/cloc v 2.00  T=0.43 s (423.7 files/s 316120.8 lines/s)"
35,C++,7578,7383,36369
35,Bourne Shell,5108,5394,29680
12,TeX,2657,86,10284
10,m4,1184,161,10260
42,C/C++ Header,2245,2630,8750
4,make,52,24,2068
12,Python,141,81,723
5,YAML,32,111,353
15,Text,39,0,217
3,Unity-Prefab,3,0,200
2,Markdown,105,0,167
1,Jupyter Notebook,0,647,82
1,C,18,11,58
1,Dockerfile,13,4,39
1,diff,3,35,36
1,TOML,0,0,5
1,Bourne Again Shell,0,0,2
181,SUM,19178,16567,99293
