files,language,blank,comment,code,"github.com/AlDanial/cloc v 2.00  T=15.64 s (1228.2 files/s 319039.5 lines/s)"
11290,C++,274162,242041,1583444
3707,C/C++ Header,130899,234220,704007
152,XML,519,57347,685301
445,C,36175,48851,225744
751,CUDA,36360,51253,145820
520,Python,14611,11885,59619
8,SVG,8,8,55233
568,Markdown,17076,148,52569
53,YAML,242,194,44312
512,CMake,6082,6743,37011
100,Assembly,6545,7092,32659
123,OpenCL,4508,4526,27011
211,Java,6267,2417,25922
55,Text,408,0,22058
118,HTML,1177,306,13802
72,Objective-C++,2307,1164,9876
31,Swift,1806,233,6117
41,JavaScript,1019,746,6084
71,JSON,1,0,3824
57,Bourne Shell,552,504,3257
36,TeX,158,0,3251
25,reStructuredText,1358,1742,2301
20,XAML,182,1202,2097
25,Bourne Again Shell,347,362,1368
13,Expect,34,28,1323
10,Protocol Buffers,317,1241,1165
3,Perl,129,43,957
1,Flatbuffers,204,290,847
5,PHP,78,37,756
30,diff,311,829,710
13,DOS Batch,153,107,693
4,Pascal,103,436,692
23,Julia,166,27,683
5,GLSL,150,17,610
9,Visual Studio Solution,9,9,544
4,SWIG,1,4,520
1,CSV,0,0,493
3,MSBuild script,0,21,479
9,C#,118,237,461
3,Maven,3,2,435
12,make,118,87,370
6,CSS,55,12,342
4,PowerShell,75,369,320
9,MATLAB,53,186,277
2,SCSS,50,10,210
4,TOML,29,28,153
2,C# Generated,24,70,138
1,Fortran 77,7,0,138
8,Dockerfile,29,67,132
2,Kotlin,30,7,126
2,Objective-C,44,33,119
3,Ant,26,0,112
5,Scala,23,41,95
3,Gradle,9,1,69
2,HLSL,12,13,39
2,INI,7,0,35
3,Clojure,4,3,30
3,Prolog,11,0,29
1,IDL,2,0,10
3,Properties,4,31,9
1,Bazel,1,0,6
1,Windows Module Definition,0,0,4
1,Jupyter Notebook,0,419,0
1,ProGuard,3,18,0
19208,SUM,545161,677707,3766818
