files,language,blank,comment,code,"github.com/AlDanial/cloc v 1.98  T=0.13 s (1247.2 files/s 320771.9 lines/s)"
39,C++,1945,1804,15809
53,C/C++ Header,1734,3155,7908
12,Python,401,503,2191
2,C,32,62,1162
2,m4,265,16,940
2,Cython,72,70,837
9,Rust,137,170,804
8,CMake,64,65,632
5,YAML,67,11,396
14,Bourne Shell,85,249,361
1,HTML,2,0,194
7,make,43,0,168
3,Markdown,46,0,140
1,TeX,10,1,131
3,JSON,0,0,112
1,SVG,1,1,103
1,Perl,31,42,101
1,Meson,5,0,94
1,Dockerfile,2,0,16
2,TOML,2,1,11
1,Text,0,0,4
168,SUM,4944,6150,32114
