files,language,blank,comment,code,"github.com/AlDanial/cloc v 1.98  T=6.78 s (1150.7 files/s 336403.5 lines/s)"
2315,C/C++ Header,124093,136500,546662
1702,C++,81641,48654,516968
2194,HTML,13246,11269,443909
506,CUDA,33555,34631,142271
126,Python,7128,9024,26695
74,OpenCL,2906,1738,23513
254,Markdown,7059,1,23436
341,CMake,2395,5025,11292
158,JavaScript,82,95,5811
21,Text,431,0,5751
8,C,486,375,2811
4,CSS,333,59,1852
7,Lua,585,401,1771
14,YAML,137,181,1379
36,Bourne Shell,223,308,1099
2,Assembly,131,67,819
24,reStructuredText,220,428,304
3,TeX,32,14,191
2,make,48,58,114
3,DOS Batch,32,31,95
1,Dockerfile,16,9,88
1,JSON,0,0,32
1,Windows Resource File,2,2,32
1,INI,0,0,8
1,TOML,1,0,8
1,XML,0,0,7
1,CSV,0,0,3
7801,SUM,274782,248870,1756921
