files,language,blank,comment,code,"github.com/AlDanial/cloc v 1.98  T=7.04 s (1132.1 files/s 316394.0 lines/s)"
3177,C,93582,134657,524638
961,HTML,21931,2994,523441
49,Bourne Shell,86741,49795,337166
1113,C/C++ Header,24129,61000,99587
390,m4,7531,5466,55023
1018,reStructuredText,25885,21056,45210
572,make,3400,11452,14663
128,Text,3132,0,12653
19,JavaScript,2435,2505,9245
435,Fortran 90,1975,4028,7027
38,Java,1514,5708,6404
23,Perl,1100,1294,4815
2,Cython,364,735,4039
1,SVG,0,0,2671
7,Python,269,699,1554
16,Markdown,352,0,1279
4,CSS,187,35,757
6,Fortran 77,165,90,579
5,lex,145,178,417
1,zsh,26,25,196
4,Bourne Again Shell,47,37,191
1,C++,7,12,20
1,Tcl/Tk,5,21,12
2,diff,1,16,12
7973,SUM,274923,301803,1651599
