files,language,blank,comment,code,"github.com/AlDanial/cloc v 1.98  T=0.60 s (1744.0 files/s 311113.4 lines/s)"
636,XML,1270,2833,51473
148,C++,6793,13567,50013
170,C/C++ Header,5446,15084,23314
7,C,916,609,4003
17,make,266,164,2243
13,Text,583,0,2225
4,MSBuild script,0,0,1956
8,XSD,73,0,849
3,Perl,106,81,628
3,m4,75,0,615
6,HTML,6,0,590
17,Bourne Shell,105,288,462
2,DOS Batch,42,76,194
6,Visual Studio Solution,6,6,181
5,diff,41,145,159
3,Markdown,31,0,71
1,CSS,1,1,26
1,DenizenScript,0,0,26
1,Windows Module Definition,1,0,16
1,YAML,1,4,8
1052,SUM,15762,32858,139052
