files,language,blank,comment,code,"github.com/AlDanial/cloc v 2.00  T=26.74 s (940.0 files/s 298374.2 lines/s)"
8891,C++,395613,432282,2586376
1540,C,208818,451179,1248706
9296,C/C++ Header,255061,622421,1046137
1320,Python,27443,30511,142589
1018,XML,5003,4774,118658
1694,CMake,13024,13210,91877
38,SQL,797,370,65753
362,Markdown,12765,205,38844
155,Qt,11,290,33809
200,SVG,609,25,25068
45,JSON,69,0,22378
81,Text,2271,0,8548
14,JavaScript,885,1713,4992
23,Objective-C++,1091,1209,4812
2,yacc,665,519,4366
74,GLSL,1352,1731,4121
45,Java,816,851,3977
90,Bourne Shell,594,643,3832
32,CUDA,683,849,2984
12,Perl,622,604,2375
24,Bourne Again Shell,374,422,1655
2,lex,214,177,1547
14,Fortran 90,324,345,1374
28,HTML,158,135,1374
16,PO File,485,862,1337
13,CSS,211,70,1255
19,reStructuredText,547,156,1253
1,m4,122,79,1244
20,YAML,71,46,948
15,Protocol Buffers,331,1790,927
4,Cython,178,68,856
9,diff,136,673,661
9,QML,88,45,543
1,WGSL,33,168,398
3,XSLT,46,17,388
1,Windows Module Definition,0,0,195
3,Swift,42,55,140
2,Fortran 77,13,23,132
4,make,35,49,91
3,Windows Resource File,6,19,73
5,Objective-C,39,52,66
1,Tcl/Tk,28,7,59
1,SWIG,14,15,58
1,DOS Batch,8,1,26
1,PHP,36,470,20
1,TNSDL,8,20,11
1,INI,6,12,6
25134,SUM,931745,1569162,5476839
