files,language,blank,comment,code,"github.com/AlDanial/cloc v 2.00  T=70.62 s (1097.4 files/s 246439.6 lines/s)"
21818,C++,810733,890174,4274041
22365,C/C++ Header,665326,1048365,3310949
20690,HTML,87204,28623,3011186
701,C,71371,85251,397579
954,JSON,2173,0,397351
1150,XML,93992,5104,362830
558,Text,16344,0,241272
1695,PHP,28577,31884,200830
860,SVG,336,1574,160482
293,Bourne Shell,20522,23867,129366
842,Java,20283,41391,93578
672,JavaScript,4580,4930,90843
929,CMake,10677,18252,53292
209,Pascal,14573,31158,52612
36,m4,4968,1116,45794
203,MSBuild script,10,7,45070
210,SQL,2495,6646,42474
483,Python,11744,22944,34505
134,AsciiDoc,9660,1212,30584
468,reStructuredText,18005,17189,28828
92,Perl,7518,6935,28344
658,Markdown,9565,251,25144
80,CSS,4235,2192,20828
68,XSLT,1921,1580,14280
321,Fortran 77,1371,1,10992
64,make,2193,1249,10032
307,Jam,1727,3005,7599
94,Assembly,2367,6915,7267
86,Protocol Buffers,1801,5471,6642
34,Visual Studio Solution,24,30,4612
23,Puppet,0,170,3918
38,YAML,274,313,3670
25,CUDA,369,352,3256
20,C#,328,1006,2948
21,Bourne Again Shell,316,423,1768
19,SCSS,291,67,1746
9,Starlark,178,154,1718
10,Ada,599,560,1681
7,TeX,249,325,1499
8,CSV,0,0,1309
4,Logos,142,84,1289
7,Bazel,128,122,1255
24,DOS Batch,219,155,1209
14,Windows Module Definition,51,121,1162
3,yacc,192,155,1033
24,INI,173,0,833
2,Ant,141,358,781
5,PowerShell,133,147,666
3,DTD,198,74,623
6,awk,31,98,569
3,lex,211,123,501
21,Properties,68,779,469
11,diff,79,468,466
2,Meson,45,11,397
42,Qt Project,147,4,363
1,SWIG,117,226,359
11,Ruby,43,62,300
10,Windows Resource File,67,167,298
3,ReasonML,154,1049,258
5,SQL Stored Procedure,38,0,248
1,LLVM IR,43,0,231
1,ERB,36,13,182
1,Maven,15,4,119
2,Qt,0,12,101
2,NAnt script,36,0,100
1,Lisp,46,85,96
5,Windows Message File,20,75,95
2,Snakemake,78,99,91
1,XSD,10,0,89
5,PO File,19,7,73
1,WiX source,18,19,64
1,Fortran 90,4,2,54
2,C# Generated,14,32,50
1,vim script,13,42,50
3,Dockerfile,7,23,48
1,Specman e,138,15,48
1,ProGuard,13,5,36
1,SAS,14,22,32
2,TOML,4,2,26
1,Tcl/Tk,3,6,24
1,Visual Basic,0,0,15
1,QML,2,4,14
1,R,4,0,14
1,D,14,8,11
1,Sass,2,0,10
1,C Shell,1,0,7
2,OpenCL,1,18,6
1,Visual Basic Script,1,21,4
3,Objective-C++,0,18,3
1,IDL,0,0,1
77503,SUM,1931832,2295421,13177492
