files,language,blank,comment,code,"github.com/AlDanial/cloc v 2.00  T=14.10 s (430.8 files/s 250571.0 lines/s)"
739,Text,91193,0,706678
390,Assembly,101897,27057,691274
271,JSON,14,0,574088
1875,C,105595,83070,446836
291,C++,20714,24532,129633
695,C/C++ Header,21447,61990,127777
74,Perl,11162,8538,76119
99,Go,5971,6464,54183
188,Python,8119,9409,28417
141,Markdown,4403,33,14246
96,CMake,1562,1114,9332
179,YAML,775,690,8859
228,Bourne Shell,2211,3020,8636
53,Rust,1489,1432,8626
374,make,3080,3435,6586
185,TOML,1218,9015,6319
11,SVG,2,76,1976
71,Dockerfile,392,267,1587
8,XML,16,10,1423
31,diff,258,1430,1353
5,Coq,197,38,865
3,Windows Module Definition,7,0,599
5,TypeScript,80,17,502
1,Starlark,59,41,471
8,Nix,54,42,402
3,CSS,42,6,351
9,DOS Batch,87,13,285
2,Ruby,46,2,209
6,Gradle,32,10,185
2,PEG,11,0,150
1,Java,19,3,77
13,reStructuredText,31,41,61
2,JavaScript,3,8,46
3,HTML,1,0,33
1,INI,1,0,30
2,Lua,0,4,29
2,PowerShell,6,5,16
3,Properties,1,21,16
1,Bourne Again Shell,2,4,15
1,Kotlin,2,1,9
1,Fortran 77,1,0,4
6073,SUM,382200,241838,2908303
