files,language,blank,comment,code,"github.com/AlDanial/cloc v 1.98  T=1.67 s (1276.0 files/s 343204.5 lines/s)"
1388,C,52445,118249,255852
318,C/C++ Header,6940,15537,25517
137,Python,5887,8890,22014
60,C++,3616,6526,17304
17,Text,596,0,4922
65,XML,532,1188,4651
54,CMake,580,849,3925
18,YAML,734,408,2915
12,reStructuredText,888,325,2047
12,Markdown,552,6,1859
5,yacc,301,228,1215
1,ReasonML,238,0,495
2,diff,49,418,439
7,lex,134,204,345
2,XSLT,30,26,340
5,Bourne Shell,88,75,318
3,CSS,18,6,280
2,Fortran 77,0,76,215
1,WebAssembly,10,0,179
2,JSON,7,0,66
2,sed,7,6,45
1,Mathematica,64,32,33
1,JavaScript,3,0,20
1,make,3,0,12
1,INI,3,0,11
2,DOS Batch,0,0,10
5,Lisp,0,0,10
1,TOML,1,0,7
1,SVG,0,0,1
2126,SUM,73726,153049,345047
