files,language,blank,comment,code,"github.com/AlDanial/cloc v 2.00  T=7.19 s (1100.9 files/s 349830.9 lines/s)"
1572,C,132985,110518,734789
1755,C/C++ Header,91314,157723,713652
3571,GLSL,23635,2981,189992
165,C++,28772,24911,162609
96,XML,425,37,19933
32,Objective-C,2213,890,13369
7,HTML,3662,59,8906
50,Markdown,1468,4,6504
8,CSS,74,69,6478
24,Assembly,827,1083,6386
78,make,1242,506,4763
22,Python,747,580,4549
65,Bourne Shell,783,615,4394
118,JSON,11,0,3727
32,C#,487,1505,3471
1,yacc,178,108,3328
15,Fortran 77,0,0,3252
16,JavaScript,334,595,2870
45,YAML,395,239,2864
27,Text,550,0,2551
85,CMake,583,359,2473
5,diff,368,1860,2306
25,Swift,355,206,2221
16,Java,455,474,1991
5,MSBuild script,0,0,1870
4,PHP,4,47,1180
6,Linker Script,135,160,867
5,SVG,2,2,783
14,Visual Studio Solution,11,12,761
2,Perl,102,104,495
10,HLSL,37,54,324
3,Lua,24,1,297
2,Metal,73,38,286
6,DOS Batch,75,8,270
8,Bourne Again Shell,43,63,241
2,Gradle,32,0,208
2,Windows Resource File,10,29,172
3,INI,41,0,160
1,Ant,21,60,52
1,Expect,3,3,9
1,Dockerfile,2,0,7
4,Properties,4,25,7
1,AsciiDoc,2,3,6
1,DTD,0,0,1
7911,SUM,292484,305931,1915374
