files,language,blank,comment,code,"github.com/AlDanial/cloc v 2.00  T=75.83 s (816.3 files/s 364035.5 lines/s)"
28963,C,2871350,2351931,14629004
20959,C/C++ Header,581566,998683,4454088
2621,reStructuredText,131759,58376,358861
1299,Assembly,46354,100065,226702
3228,Text,42169,0,196300
287,JSON,0,0,165764
922,YAML,15692,4341,71686
636,Bourne Shell,15965,11015,63034
2578,make,9731,10822,43768
59,SVG,118,1365,37555
60,Perl,6663,4765,34293
121,Python,5223,4766,27333
9,yacc,689,354,4707
5,PO File,791,918,3077
9,lex,346,304,2122
10,C++,340,133,1993
52,Bourne Again Shell,337,296,1749
10,awk,139,116,1051
1,Glade,58,0,603
2,NAnt script,143,0,548
6,CSV,1,0,203
1,Cucumber,28,50,174
2,TNSDL,33,0,140
38,Clojure,8,0,111
2,Windows Module Definition,15,0,109
1,m4,15,1,95
2,Linker Script,22,9,94
1,CSS,28,29,80
5,XSLT,13,26,61
3,Snakemake,13,13,50
1,Umka,16,0,34
1,vim script,3,12,27
1,Ruby,4,0,25
1,INI,1,0,6
1,sed,2,5,5
61897,SUM,3729635,3548395,20325452
