files,language,blank,comment,code,"github.com/AlDanial/cloc v 2.00  T=17.52 s (996.9 files/s 352949.8 lines/s)"
8137,C++,616823,457853,2955645
7898,C/C++ Header,190367,302025,949834
34,PO File,73578,121355,195843
346,XML,1352,905,125149
36,Assembly,8837,1487,28417
115,Lua,3604,1017,17681
121,INI,184,0,14842
208,make,1403,857,13012
51,Python,1779,2761,11457
78,Bourne Shell,1360,1898,11394
14,Markdown,1639,43,7109
15,Java,1124,1863,5771
1,Pascal,0,0,5684
83,Text,637,0,5571
22,Objective-C++,769,814,4024
52,reStructuredText,3665,3734,3224
10,HTML,493,28,2685
110,Perl,331,216,2616
9,YAML,137,70,2378
3,Visual Studio Solution,2,3,2333
4,yacc,208,226,1667
3,CSS,309,84,1467
6,Linker Script,94,202,1096
9,JavaScript,127,132,1016
25,JSON,2,0,858
25,SVG,4,1,786
4,lex,83,80,499
2,Visual Basic Script,114,145,428
6,DOS Batch,93,30,419
1,Windows Resource File,12,2,321
1,awk,58,60,276
14,DTD,45,22,256
1,XSD,26,69,246
2,Rexx,33,102,167
2,R,15,6,127
2,diff,10,43,104
2,C,24,60,100
1,Protocol Buffers,26,81,90
1,Objective-C,23,23,79
1,Gradle,14,36,61
1,Logos,0,0,60
1,Bazel,12,0,38
1,CMake,3,0,22
1,sed,0,8,11
1,Fortran 77,4,1,10
1,Properties,0,0,6
1,Expect,0,0,4
17462,SUM,909423,898342,4374883
