files,language,blank,comment,code,"github.com/AlDanial/cloc v 1.98  T=14.47 s (600.3 files/s 336036.5 lines/s)"
2690,C++,221703,174975,1067973
136,PO File,363863,312608,900021
3657,C/C++ Header,156754,272989,474611
451,MSBuild script,2550,2250,316629
161,C,23337,26393,152316
252,XML,1513,1129,65719
288,HTML,4784,621,60305
50,Bourne Shell,8698,2992,37292
53,INI,3360,2,31692
255,SVG,174,196,29292
83,Objective-C++,5815,3633,23364
158,CMake,2062,2854,17238
28,m4,1926,1038,13619
80,Text,3184,0,13317
16,JavaScript,707,1687,8132
42,Visual Studio Solution,42,37,7093
63,Markdown,2159,0,5525
21,Python,995,978,4271
37,Perl,919,569,3540
13,Qt,55,0,1424
7,Assembly,446,474,1418
10,make,236,306,1317
1,yacc,212,48,1311
11,CSS,258,155,1240
5,XSLT,95,214,1220
3,Windows Module Definition,0,39,1200
16,DOS Batch,189,111,1048
1,Nemerle,7,0,963
18,YAML,66,29,895
10,diff,58,283,587
3,ActionScript,77,140,585
28,Windows Resource File,107,134,351
1,DTD,32,11,300
6,Qt Project,44,27,230
1,lex,31,22,209
1,Lua,9,22,204
9,F#,63,44,196
3,TeX,30,11,170
12,ProGuard,38,60,124
1,JSON,0,0,116
2,Bourne Again Shell,29,19,93
1,Properties,0,2,4
8684,SUM,806627,807102,3247154
