files,language,blank,comment,code,"github.com/AlDanial/cloc v 2.00  T=2.41 s (1813.3 files/s 223169.4 lines/s)"
129,HTML,17898,525,133527
1507,SWIG,17511,10830,73665
70,C++,9229,9811,48132
84,C,4782,6830,37118
22,Bourne Shell,3437,2896,23018
245,Java,2817,937,15382
391,Python,3935,1544,11018
117,C#,1478,707,8851
220,Ruby,2202,1946,6482
109,D,1230,677,6458
1,yacc,525,683,6291
187,MATLAB,1731,11,5911
151,C/C++ Header,1187,1215,5193
9,m4,771,107,5049
175,Go,1217,292,4460
114,Perl,987,531,3861
144,make,598,159,3606
131,PHP,1171,586,3177
16,MSBuild script,0,0,3041
115,Lua,844,612,2700
126,OCaml,365,50,2094
105,Scheme,497,375,1756
83,JavaScript,433,215,1751
43,Tcl/Tk,454,249,1499
28,R,330,195,1291
14,diff,102,609,1130
3,YAML,49,38,646
4,Text,118,0,533
2,CMake,35,25,132
7,XML,0,0,82
1,CSS,15,0,81
2,Mathematica,23,0,64
1,Visual Studio Solution,0,1,37
3,Ant,54,168,33
1,Bourne Again Shell,4,10,12
3,Properties,6,30,2
4363,SUM,76035,42864,418083
