files,language,blank,comment,code,"github.com/AlDanial/cloc v 2.00  T=2.86 s (941.4 files/s 294445.8 lines/s)"
972,C,54142,49901,360790
66,Bourne Shell,11832,10576,68961
59,yacc,13773,3924,68901
713,C/C++ Header,11306,26561,65418
20,m4,2770,578,23441
191,Python,2775,5374,9399
203,make,1469,194,7058
18,C++,1420,552,6528
217,CMake,928,1239,5184
71,Java,908,1623,3591
16,XML,154,207,3344
24,Markdown,976,50,2618
6,XSD,71,6,2302
7,JSON,0,0,1108
20,Text,288,0,1097
23,Protocol Buffers,536,2592,1063
2,Objective-C,125,78,611
14,Bourne Again Shell,110,26,534
17,YAML,45,58,433
1,lex,65,83,409
14,Dockerfile,76,0,241
2,Perl,74,104,195
2,awk,52,62,192
8,Gradle,16,0,107
1,Mustache,10,0,74
2,INI,1,0,17
1,CSV,0,0,6
2690,SUM,103922,103788,633622
