files,language,blank,comment,code,"github.com/AlDanial/cloc v 2.00  T=0.77 s (709.5 files/s 361385.2 lines/s)"
174,C,10307,22462,127082
33,Bourne Shell,5687,5770,31716
9,m4,1271,359,12449
117,C/C++ Header,2914,20648,9114
1,Fortran 77,0,0,5501
1,yacc,20,48,3901
9,diff,66,818,3823
3,SWIG,416,321,2255
101,DenizenScript,0,0,1615
31,Python,689,1378,1423
30,reStructuredText,1201,975,1165
1,lex,26,22,665
4,Text,72,0,398
4,DOS Batch,57,90,316
4,Markdown,101,0,315
8,Windows Resource File,24,45,257
1,CoCoA 5,0,0,216
1,awk,9,10,162
3,Perl,42,43,161
6,XML,9,23,97
1,Protocol Buffers,60,191,80
2,make,18,72,40
1,Windows Message File,7,0,37
1,Windows Module Definition,0,0,36
1,Dockerfile,1,3,5
1,TOML,0,0,5
548,SUM,22997,53278,202834
