files,language,blank,comment,code,"github.com/AlDanial/cloc v 1.98  T=5.31 s (998.2 files/s 83514.9 lines/s)"
1242,Rust,35021,27896,230826
592,Markdown,12520,42,42949
18,Text,3434,0,22168
2737,JSON,0,0,14217
218,YAML,1080,817,8358
75,SVG,61,2595,6113
85,TOML,678,176,5971
134,HTML,735,5,5763
11,JavaScript,179,121,2484
70,Bourne Shell,624,820,2457
11,Ruby,536,686,2186
33,Protocol Buffers,719,3004,1905
4,make,199,70,742
6,Sass,257,193,711
3,TypeScript,82,33,701
2,CSV,0,0,675
2,CSS,100,16,522
24,GraphQL,1,0,306
1,Lua,63,45,280
19,Dockerfile,71,41,230
1,XML,0,0,158
3,diff,14,118,137
3,Bourne Again Shell,24,36,133
1,Perl,31,42,101
2,Python,24,3,60
1,awk,12,47,59
1,INI,6,0,23
1,ERB,5,0,21
1,PowerShell,6,10,11
1,DOS Batch,0,0,10
5302,SUM,56482,36816,350277
