files,language,blank,comment,code,"github.com/AlDanial/cloc v 1.98  T=22.31 s (1267.4 files/s 313758.5 lines/s)"
8124,C++,442226,327304,2398492
11204,C/C++ Header,233708,408396,955680
4069,HTML,406956,19428,621386
907,JavaScript,60041,33552,284742
197,JSON,71,0,116867
179,Text,8198,0,96930
51,PO File,30416,37021,60238
1594,IDL,4167,0,59723
203,C,10769,8015,50698
209,Python,11163,13783,38361
299,CSS,5250,7374,23095
161,CMake,2771,2285,21365
53,Ruby,2397,2393,18323
112,Properties,2451,7363,16109
27,Perl,3708,1477,15891
8,Assembly,2802,1521,14379
16,Windows Module Definition,1535,1483,8611
88,Markdown,2283,41,7763
11,YAML,668,201,7750
13,m4,1230,16,6879
8,Metal,1080,276,5674
122,XML,615,1129,4459
316,SVG,216,198,3421
32,WGSL,398,520,2642
3,yacc,217,117,2350
11,Java,336,544,1734
9,HLSL,284,69,1658
18,GLSL,320,552,1560
37,Bourne Shell,345,387,1455
6,diff,123,495,1098
2,lex,209,53,1090
12,ERB,109,0,939
1,D,145,325,856
148,Pascal,343,29936,797
1,Starlark,61,42,488
7,Bourne Again Shell,69,75,467
4,DOS Batch,45,19,272
3,Windows Resource File,60,77,206
1,CSV,0,0,176
3,Swift,30,104,146
2,Jinja Template,7,0,72
1,INI,1,0,6
1,make,0,2,0
28273,SUM,1237823,906573,4854848
