files,language,blank,comment,code,"github.com/AlDanial/cloc v 2.00  T=15.80 s (459.3 files/s 448697.4 lines/s)"
3846,C,715733,406906,3923329
49,PO File,210210,236581,535296
1567,C/C++ Header,56340,68423,423214
597,IDL,27995,4,174341
541,SVG,203,81,97243
7,Bourne Shell,2225,2030,24828
45,Perl,3490,2206,23747
15,yacc,3032,1053,20524
388,Windows Resource File,3011,8340,15225
20,JavaScript,2191,419,14426
3,Pascal,34,15618,8031
9,Objective-C,1516,1273,7151
4,Windows Message File,11,20,4661
5,Visual Basic Script,781,117,4614
9,lex,623,758,4044
2,m4,279,216,3668
69,XML,376,22,3317
1,Windows Module Definition,584,0,3292
2,DOS Batch,226,306,3288
7,PHP,90,24,3180
1,Python,685,542,2632
20,Markdown,922,0,2486
2,Expect,56,0,1829
4,Ring,172,188,1739
3,C++,235,167,1248
12,HTML,188,7,874
9,TNSDL,108,0,843
1,Java,112,31,750
1,XSD,188,15,388
5,YAML,20,5,303
1,Logos,36,3,233
3,C#,11,54,62
3,Bourne Again Shell,16,0,48
1,XSLT,3,0,23
1,INI,2,0,12
1,JSON,0,0,7
1,GLSL,0,0,2
7255,SUM,1031704,745409,5310898
