files,language,blank,comment,code,"github.com/AlDanial/cloc v 2.00  T=14.87 s (333.6 files/s 425118.0 lines/s)"
2309,C,686911,371846,4272614
14,Qt Linguist,1200,0,204527
1310,C/C++ Header,26688,47829,186872
240,C++,22032,21689,103836
56,XML,1992,2052,76375
110,Python,7703,10225,47018
66,IDL,7363,0,30475
92,Qt,39,2,27534
82,AsciiDoc,9440,493,26688
64,Perl,4419,2613,23841
248,CMake,2937,4234,18161
110,SVG,113,107,15451
29,Lua,1570,1723,6100
40,Bourne Shell,934,1845,4721
34,Text,145,0,4614
14,lex,1271,1239,4545
1,Pascal,554,5964,3047
20,INI,868,0,2538
19,PO File,304,1036,1292
7,WiX include,65,85,1234
12,YAML,76,151,1213
2,JSON,0,0,950
12,Protocol Buffers,197,91,877
3,HTML,78,17,775
14,DTD,176,116,699
1,CSS,269,58,443
9,Markdown,164,7,442
5,PowerShell,132,230,435
6,XSLT,50,45,310
1,ASP,60,0,308
3,WiX source,30,51,130
11,Ruby,31,68,114
1,Windows Resource File,23,17,107
3,Bourne Again Shell,24,43,76
5,diff,8,39,58
1,make,15,13,55
1,Tcl/Tk,3,6,35
1,reStructuredText,16,13,27
1,Objective-C,11,18,26
1,zsh,6,21,14
1,Objective-C++,7,15,13
1,WiX string localization,0,0,4
4960,SUM,777924,474001,5068594
