files,language,blank,comment,code,"github.com/AlDanial/cloc v 2.00  T=12.85 s (366.9 files/s 404352.4 lines/s)"
6,Text,91,0,1019561
30,SQL,153981,6,972035
1859,Go,57839,71308,628338
506,C,89743,153130,483986
36,PO File,165996,381151,377930
1426,PHP,52784,71707,285461
97,JavaScript,10703,8833,41780
5,CSS,2595,44,29646
279,C/C++ Header,4961,18757,22760
29,Bourne Shell,4020,2949,21390
46,SCSS,2590,405,12705
69,Markdown,2537,2,7303
26,m4,1039,265,6745
34,Assembly,1519,280,5895
155,make,838,209,3998
40,JSON,1,0,3333
1,SVG,6,1,3069
12,XSD,233,40,2414
16,Java,326,302,1411
1,C++,157,165,661
17,YAML,71,107,557
6,Bourne Again Shell,63,86,328
2,diff,25,134,164
5,Fortran 77,68,105,124
1,Windows Resource File,21,29,53
3,XML,11,0,49
1,Perl,19,54,42
1,INI,2,0,10
1,Windows Message File,3,5,9
2,DOS Batch,0,0,6
1,vim script,0,0,1
4713,SUM,552242,710074,3931764
